"Грэм Б.: Разумный инвестор: Полное руководство по стоимостному инвестированию","10300","100","1"," Деловая литература"," Альпина Паблишер"," 12+","2017"," Русский"
"Бухольц Д.: Поваренная книга Гарри Поттера","4990","100","3"," Кулинария"," ХлебСоль"," 12+"," 12+"," Русский"
"Ан А. В.: Корейский язык без репетитора. Самоучитель корейского языка","1030","0","0"," Иностранные языки"," АСТ"," 12+"," 2019"," Корейский"
"Бурбо Л.: Пять травм, которые мешают быть самим собой","4040","0","0"," Эзотерика"," София"," 16+"," 2019"," Русский"
"Кроули А.: Таро Тота (брошюра + 78 карт в подарочной упаковке)","10000","100","1"," Эзотерика"," Весь"," 16+"," 2016"," Русский"
"Мур Г.: Тренажер памяти: Как развить память за 40 дней","2790","100","1"," Психология популярная"," Альпина Паблишер"," 6+"," 2019"," Русский"
"Казахско-английский / Англо-казахский словарь","1250","0","0"," Иностранные языки"," Аруна"," 6+"," 2012"," Несколько языков"
"Белфорт Дж.: Волк с Уолл-стрит","2790","0","0"," Современная мировая проза"," АСТ"," 18+"," 2013"," Русский"
"Бардуго Л.: Девятый Дом","3010","0","0"," Young adult"," АСТ"," 16+"," 2020"," Русский"
"Спенст Д.: 6 минут. Ежедневник, который изменит вашу жизнь (ежевика)","5990","0","0"," Психология популярная"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Корчак Я.: Любовь к ребенку","2390","0","0"," Книги для родителей"," Питер-Трейд"," 16+"," 2020"," Русский"
"Верн Ж.: Пять недель на воздушном шаре. Школьное чтение","1500","0","0"," Детская литература"," АСТ"," 12+"," 2021"," Русский"
"Бексултан Казыбек: КазахMan Batyr. Выпуск 2","990","80","8"," Комиксы, графические романы"," Bult Publishing House"," 12+"," 2020"," Русский"
"Светоний Транквилл Г.: Жизнь двенадцати цезарей. Эксклюзивная классика","1340","0","0"," Мировая история"," Neoclassic"," 12+"," 2021"," Русский"
"Сапковский А.: Геральт","6750","20","1"," фантастика"," АСТ"," 16+"," 2013"," Русский"
"Венц И.: Протокол Хашимото: когда иммунитет работает против нас","4550","80","1"," Здоровье"," Бомбора"," 12+"," 2020"," Русский"
"Алигьери Данте: Божественная комедия (Всемирная литература)","1030","0","0"," Поэзия"," Эксмо"," 16+"," 2020"," Русский"
"Маккуистон К.: Красный, белый и королевский синий","3310","0","0"," Young adult"," АСТ"," 18+"," 2020"," Русский"
"Санжар Н.: Бату-хан","3490","0","0"," Исторический роман"," Meloman Publishing"," 16+"," 2020"," Русский"
"Шмидт Э., Розенберг Дж., Игл А.: Trillion Dollar Coach. Принципы лидерства легендарного коуча Кремниевой долины Билла Кэмпбелла","8250","0","0"," Бизнес образование"," Бомбора"," 12+"," 2021"," Русский"
"Комикс Ф.: Дух моей общаги. Книга 1","2540","0","0"," Комиксы, графические романы"," Комильфо"," 16+"," 2021"," Русский"
"Шетти Дж.: Думай как монах. Прокачай свою жизнь","3760","0","0"," Психология популярная"," АСТ"," 12+"," 2021"," Русский"
"Гюго В.: Человек, который смеется. Лучшая мировая классика","1190","0","0"," Всемирная классика"," АСТ"," 16+"," 2019"," Русский"
"Гаврильев К. А.: Әліппе 3D","2490","100","2"," Казахстанская детская литература",," 6-"," 2019"," Казахский"
"Бардуго Л.: Крах и восход","2750","100","1"," Young adult"," АСТ"," 16+"," 2018"," Русский"
"Вульф Трейси: Жажда","2900","0","0"," Young adult"," Like Book"," 18+"," 2020"," Русский"
"Коутон С., Брид-Райсли К.: Пять ночей у Фредди. Серебряные глаза","2900","100","2"," Young adult"," Freedom"," 16+"," 2017"," Русский"
"Грин Р.: 48 законов власти. Кнут и пряник","6850","90","2"," Психология популярная"," Рипол"," 16+"," 2018"," Русский"
"Лайас Г.: Великий исход казахов","4990","100","5"," История Казахстана и Центральной Азии",," 16+"," 2018"," Русский"
"Хилл Н.: ДУМАЙ И БОГАТЕЙ! Самое полное издание, исправленное и дополненное. Секреты миллионеров","1670","100","2"," Бизнес образование"," АСТ"," 16+"," 2019"," Русский"
"Виллолдо А., Барон-Рид К., Лобос М.: Оракул Шамана-мистика (64 карты и руководство для гадания в подарочном футляре)","10490","100","1"," Эзотерика"," Эксмо"," 16+"," 2019"," Русский"
"Кавашима Р.: Японская система развития интеллекта и памяти. Программа ""60 дней""","3490","0","0"," Психология практическая"," Питер-Трейд"," 16+"," 2019"," Русский"
"Типпинг К.: Радикальное Прощение: родители и дети. Почему так важно простить своих близких","4550","0","0"," Эзотерика"," София"," 16+"," 2020"," Русский"
"Дойдж Н.: Пластичность мозга. Потрясающие факты о том, как мысли способны менять структуру и функции нашего мозга. Бомборий. Новый элемент знаний","2050","0","0"," Психология практическая"," Бомбора"," 16+"," 2020"," Русский"
"Карнеги Д., Хилл Н.: Общайся так, чтобы тебя слышали, слушали и слушались!","1620","100","1"," Психология популярная"," АСТ"," 12+"," 2021"," Русский"
"Гоголь Н. В.: Тарас Бульба.  Эксклюзив: Русская классика","980","0","0"," Русская классика"," АСТ"," 12+"," 2016"," Русский"
"Старкс К.: Рик и Морти. Гибель вселенной","7850","0","0"," Комиксы, графические романы"," Комильфо"," 18+"," 2021"," Русский"
"Шмидт Т.: Таро Уэйта-Крайона для предсказания будущего","6250","0","0"," Эзотерика"," АСТ"," 16+"," 2021"," Русский"
"Камминс Д.: Американская грязь","4710","0","0"," Современная мировая проза"," Синдбад"," 16+"," 2020"," Русский"
"Достоевский Ф. М.: Братья Карамазовы (твердый переплет)","1290","0","0"," Русская классика"," Азбука"," 16+"," 2015"," Русский"
"Рокфеллер Дж.: Как я нажил 500 000 000.  Мемуары миллиардера","1475","100","1"," Публицистика"," АСТ"," 12+"," 2015"," Русский"
"Габо Л.: Мандалы, исполняющие желания (раскраска)","1070","0","1"," Дом, быт, досуг",," 12+"," 2018"," Русский"
"Скультэ В.: Английский для детей (ч/б. илл.)","1950","100","1"," Английский для детей"," Айрис-Пресс"," 0+"," 2016"," Английский"
"Глуховский Д. А.: Метро 2033. Метро 2034. Метро 2035","10000","97","6"," фантастика"," АСТ"," 18+"," 2019"," Русский"
"Киз Д.: Цветы для Элджернона. Всемирная литература (новое оформление)","1550","0","0"," Современная мировая проза"," Эксмо"," 16+"," 2020"," Русский"
"Теккерей У. М.: Ярмарка тщеславия. Эксклюзивная классика","1550","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2016"," Русский"
"Ооба Ц., Обата Т.: Death Note. Black Edition. Кн. 2","4990","0","4"," Манга"," Азбука"," 18+"," 2017"," Русский"
"Брубейкер Э.: Бэтмен. Человек, который смеется","1640","100","1"," Комиксы, графические романы"," Азбука"," 16+"," 2017"," Русский"
"Абай Құнанбаев: Қара сөздер(мини)","850","0","0"," Казахская Классика"," Meloman Publishing"," 14+"," 2020"," Казахский"
"Садхгуру: Внутренняя инженерия. Путь к радости. Практическое руководство от йога (бизнес)","4650","100","11"," Психология популярная"," Бомбора"," 16+"," 2018"," Русский"
"Брэдбери Р.: 451' по Фаренгейту (Всемирная литература)","1290","0","0"," фантастика"," Эксмо"," 16+"," 2020"," Русский"
"Сапковский А.: Последнее желание. Меч предназначения","3090","100","3"," фантастика"," Neoclassic"," 16+"," 2019"," Русский"
"Карнеги Д.: Дос табу және адамдарға ықпал ету өнері","3500","0","0"," Психология популярная"," Мазмұндама"," 14+"," 2020"," Казахский"
"Оруэлл Дж.: 1984. Лучшая мировая классика","1300","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2021"," Русский"
"Джордан Р.: Колесо Времени. Кн. 6. Властелин хаоса","5060","0","0"," фантастика"," Азбука"," 12+"," 2021"," Русский"
"Ли Н. Г.: Рисунок. Основы учебного академического рисунка: Учебник","6550","100","4"," Дом, быт, досуг",," 0+"," 2009"," Русский"
"Браун Д.: Код да Винчи (мягкая обложка)","1730","93","3"," Остросюжетная литература"," АСТ"," 16+"," 2014"," Русский"
"Тасибеков К.: Ситуативный казахский. Словарь.","2690","0","0"," Иностранные языки",," 16+"," 2016"," Несколько языков"
"Эрхардт У.: Хорошие девочки отправляются на небеса, а плохие - куда захотят...","1910","100","6"," Бизнес образование"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Исида С.: Токийский гуль. Кн. 4","4850","100","2"," Манга"," Азбука"," 18+"," 2019"," Русский"
"Клейсон Дж.: Самый богатый человек в Вавилоне (Год издания: 2020)","4350","100","4"," Бизнес образование"," Попурри"," 16+"," 2020"," Русский"
"Акутагава Р.: Ворота Расёмон","1450","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2021"," Русский"
"Әкімшілік құқық бұзушылық туралы Қазақстан Республикасының кодексі. 2021 ж.","1950","0","0"," Деловая литература"," Юрист"," 12+"," 2021"," Казахский"
"Белинг С.: Лука","2190","0","0"," Детская литература"," Эксмо"," 6+"," 2021"," Русский"
"Акасака А.: Госпожа Кагуя: В любви как на войне: Любовная битва двух гениев. Кн. 3","5650","0","1"," Манга"," Азбука"," 16+"," 2021"," Русский"
"Синельников В. В.: Возлюби болезнь свою. Тайны подсознания","1950","100","6"," Психология популярная"," Центрполиграф"," 16+"," 2020"," Русский"
"Рэнд А.: Атлант расправил плечи. В 3 книгах.","6380","98","21"," Всемирная классика"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Гравити Фолз. Дневник 3","7910","99","83"," Детская литература"," Эксмо"," 12+"," 2017"," Русский"
"Макконахи М.: Зеленый свет","5450","93","3"," Публицистика"," Азбука"," 18+"," 2021"," Русский"
"Оруэлл Дж.: 1984. Эксклюзивная классика","1450","95","4"," Всемирная классика"," Neoclassic"," 16+"," 2014"," Русский"
"Янг У. П.: Хижина (новое издание)","1390","0","0"," Современная мировая проза"," Бомбора"," 16+"," 2016"," Русский"
"Дефо Д.: Робинзон Крузо = Robinson Crusoe","890","0","0"," Иностранные языки"," АСТ"," 12+"," 2015"," Английский"
"Ширер У.: Взлет и падение Третьего Рейха","7410","0","0"," Мировая история"," АСТ"," 16+"," 2015"," Русский"
"Хейли А.: Аэропорт (Эксклюзивная классика)","1550","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2014"," Русский"
"Исаяма Х., Снарк Г.: Атака на Титанов. Выбор без сожалений","3990","100","4"," Манга"," Азбука"," 18+"," 2017"," Русский"
"Оруэлл Дж.: Скотный Двор. Эссе (замена перевода). Эксклюзивная классика","1365","100","1"," Всемирная классика"," Neoclassic"," 16+"," 2017"," Русский"
"Дали С.: Дневник одного гения. Азбука-Классика","1250","0","0"," Культура, искусство"," Азбука"," 16+"," 2016"," Русский"
"Типпинг К.: Техники Радикального Прощения. Радикальное Проявление","1790","0","0"," Эзотерика"," София"," 16+"," 2017"," Русский"
"Браун Д.: Ангелы и демоны (эксклюзивная классика)","1650","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2018"," Русский"
"Державина В. А.: Самоучитель английского языка в схемах и таблицах","2350","100","1"," Иностранные языки"," АСТ"," 12+"," 2018"," Английский"
"Бехар Г.: Дело не в кофе: Корпоративная культура Starbucks","4550","100","3"," Деловая литература"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Чепмен Г.: Любовь как образ жизни. Как научиться говорить на языке любви","2850","100","4"," Психология популярная"," ОДРИ"," 16+"," 2018"," Русский"
"Манелова Д.: Как зарабатывать в Instagram","3850","100","1"," Бизнес образование"," Альпина Паблишер"," 16+"," 2018"," Русский"
"Чалдини Р.: Психология влияния. Как научиться убеждать и добиваться успеха. Психологический бестселлер","3015","0","0"," Психология практическая"," Бомбора"," 16+"," 2019"," Русский"
"Батырев М.: 45 татуировок продавана. Правила для тех кто продаёт и управляет продажами","6150","100","1"," Бизнес образование"," МИиФ"," 16+"," 2019"," Русский"
"Карнеги Д.: Как завоевывать друзей и оказывать влияние на людей (английский язык)","2250","0","0"," Неадаптированная литература"," Каро"," 16+"," 2018"," Английский"
"Стокетт К.: Прислуга. Чтение в оригинале. Английский язык","1090","0","0"," Неадаптированная литература"," Каро"," 16+"," 2019"," Английский"
"Сапковский А.: Кровь эльфов. Час презрения","7250","100","2"," фантастика"," Neoclassic"," 16+"," 2019"," Русский"
"Тёртон С.: Семь смертей Эвелины Хардкасл","1100","0","0"," Остросюжетная литература"," Аттикус"," 16+"," 2020"," Русский"
"Ты потрясающая! Раскраска-антистресс","1250","100","1"," Дом, быт, досуг",," 12+"," 2020"," Русский"
"Поляк К. М.: Новые мандалы. Мини-раскраска-антистресс для творчества и вдохновения.","3150","0","0"," Дом, быт, досуг",," 6+"," 2016"," Русский"
"Бхаргава А.: Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих","4590","0","0"," Компьютер"," Питер-Трейд"," 16+"," 2019"," Русский"
"Каплан А.: Интенсивный курс турецкого языка для начинающих","1390","100","1"," Иностранные языки",," 12+"," 2020"," Турецкий"
"Олкотт Л. М.: Хорошие жены. Эксклюзивная классика","1370","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2020"," Русский"
"Кэмерон Дж.: Путь художника","2850","100","2"," Психология популярная"," Livebook"," 12+"," 2017"," Русский"
"Харви С.: Поступай как женщина, думай как мужчина. И другие бестселлеры Стива Харви под одной обложкой","3245","99","15"," Психология популярная"," ОДРИ"," 16+"," 2018"," Русский"
"Бишоп Г.: Unfu*k yourself. Парься меньше, живи больше (UnicornBook)","2890","0","0"," Психология популярная"," Бомбора"," 16+"," 2019"," Русский"
"Щерба Н. В.: Часодеи. 4. Часовое имя","6990","0","0"," Детская литература"," Росмэн"," 12+"," 2012"," Русский"
"Уайльд О.: Портрет Дориана Грея (Мировая классика)","4990","100","1"," Всемирная классика"," Азбука"," 16+"," 2013"," Русский"
"Мойес Дж. : Серебристая бухта","4265","100","1"," Сентиментальный роман"," Иностранка"," 16+"," 2014"," Русский"
"Кафка Ф.: Процесс. Эксклюзивная классика","3735","0","0"," Всемирная классика"," Neoclassic"," 16+"," 2015"," Русский"
"Кастен М.: Спаси меня","2750","0","0"," Сентиментальный роман"," Эксмо"," 18+"," 2019"," Русский"
"Пакат К. С., Johanna The Mad: Фехтовальщики. Том 2","2480","0","0"," Комиксы, графические романы"," Popcorn Books"," 18+"," 2021"," Русский"
"Честерфилд Ф.: Письма к сыну. Neoclassic","4250","0","0"," Философия"," Neoclassic"," 12+"," 2021"," Русский"
"Бексултан Казыбек: КазахMan Batyr. Выпуск 3","5070","0","1"," Комиксы, графические романы"," Bult Publishing House"," 12+"," 2020"," Русский"
"Рудник Э.: Круэлла","1960","0","0"," Детская литература"," Эксмо"," 12+"," 2021"," Русский"
"Жунусбек М.: Искусство разговаривать. 10 простых шагов. Как увлекать и убеждать слушателей","3190","0","0"," Бизнес образование"," Альпина Паблишер"," 12+"," 2021"," Русский"
"Ньюмарк Э., Слокум Лахав Л.: Куриный бульон для души. Сердце уже знает. 101 история о правильных решениях","1150","0","0"," Современная мировая проза"," Эксмо"," 16+"," 2021"," Русский"
"Двойных К.: Дилемма выжившего","2685","0","0"," Young adult",," 18+"," 2021"," Русский"
"Хьюз Дж. И.: Богатство семьи. Как сохранить в семье человеческий, интеллектуальный и финансовый капиталы. Топовый нон-фикшн","1650","0","0"," Бизнес образование"," Олимп-бизнес"," 12+"," 2021"," Русский"
"Калашников И. К.: Жестокий век. Классика исторической литературы. Лучшее","2400","0","0"," Исторический роман"," АСТ"," 16+"," 2021"," Русский"
"Жукова О. С.: Нейрологопедические прописи: пишем цифры и учимся считать","2990","0","0"," Развивающая литература"," Малыш"," 0+"," 2021"," Русский"
"Ганди М.: Моя жизнь.  Эксклюзивная классика","3450","0","0"," Публицистика"," Neoclassic"," 16+"," 2020"," Русский"
"Гёте И. В.: Фауст.  Мировая классика","2690","0","0"," Всемирная классика"," Азбука"," 16+"," 2013"," Русский"
"Бах Р.: Чайка Джонатан Ливингстон (авторская версия)","5990","0","0"," Современная мировая проза"," София"," 16+"," 2014"," Русский"
"Rowling J. K.: Harry Potter and the Philosopher's Stone","3950","100","5"," Неадаптированная литература"," Bloomsbury"," 6+"," 2015"," Английский"
"Стокетт К.: Прислуга","2505","0","0"," Современная мировая проза",," 16+"," 2016"," Русский"
"Аристофан, Менандр, Плавт, Теренций: Античная комедия","8000","0","0"," Всемирная классика"," Neoclassic"," 12+"," 2020"," Русский"
"Лебедева Д. И.: Загадочная щитовидка: что скрывает эта железа","5290","0","0"," Здоровье"," АСТ"," 16+"," 2021"," Русский"
"Сираи Каиу, Дэмидзу Поска: Обещанная страна грёз. Книга 2","3480","0","0"," Манга"," Истари комикс"," 12+"," 2021"," Русский"
"Кинг С.: Кэрри. Эксклюзивная классика","7600","80","1"," фантастика"," Neoclassic"," 16+"," 2020"," Русский"
"Ёми С.: Врата Штейна. Том 1.","2450","100","1"," Манга"," XL Media"," 16+"," 2015"," Русский"
"Тайсон М.: Беспощадная истина","950","100","2"," Публицистика"," Эксмо"," 18+"," 2016"," Русский"
"Гравити Фолз. Графический роман. Вып. 3","2190","100","5"," Комиксы детские"," Эксмо"," 12+"," 2018"," Русский"
"Трейси Б.: Выйди из зоны комфорта. Измени свою жизнь. МИФ. Личное развитие","1890","0","0"," Психология популярная"," МИиФ"," 16+"," 2020"," Русский"
"Саакашвили М.: Пробуждение силы","2590","0","0"," Публицистика",," 14+"," 2020"," Русский"
"Кинг С.: Будет кровь","1250","0","0"," фантастика"," Neoclassic"," 16+"," 2020"," Русский"
"Карамова Р.: Простейший Завет. Физика любви","3990","95","4"," Психология популярная"," АСТ"," 16+"," 2020"," Русский"
"Рокфеллер Дж.: Мемуары миллиардера. Как я нажил 500 000 000 $","3220","0","0"," Публицистика"," АСТ"," 12+"," 2018"," Русский"
"Кудряшов Д.: Администратор инстаграма: руководство по заработку","1350","100","25"," Бизнес образование"," АСТ"," 16+"," 2018"," Русский"
"Пиз А., Пиз Б.: Ответ. Проверенная методика достижения недостижимого","990","100","1"," Психология популярная"," Бомбора"," 16+"," 2017"," Русский"
"Гормоны счастья. Как приучить мозг вырабатывать серотонин, дофамин, эндорфин и окситоцин","5490","0","0"," Психология практическая"," МИиФ"," 16+"," 2020"," Русский"
"Бронте Ш.: Джейн Эйр (Лучшая мировая классика)","1980","100","1"," Всемирная классика"," АСТ"," 12+"," 2018"," Русский"
"Аксенова А.: История искусств. Просто о важном. Стили, направления и течения","4650","0","0"," Культура, искусство"," Эксмо"," 16+"," 2019"," Русский"
"Прах В.: Женщины созданы, чтобы их…","4650","100","6"," Психология популярная"," АСТ"," 16+"," 2019"," Русский"
"Бектаев Қ.: Большой казахско-русский русско-казахский словарь","5990","100","1"," Иностранные языки",," 14+"," 2007"," Несколько языков"
"Браун Д.: Ангелы и демоны","1720","0","0"," Остросюжетная литература"," АСТ"," 16+"," 2013"," Русский"
"Старкс К.: Рик и Морти. Истории за кадром","1150","100","2"," Комиксы, графические романы"," Комильфо"," 18+"," 2019"," Русский"
"Брандис К.: Превращение Карага (#1)","1060","0","0"," Детская литература"," Эксмо"," 12+"," 2019"," Русский"
"Каланити П.: Когда дыхание растворяется в воздухе. Иногда судьбе все равно, что ты врач","1190","100","10"," Публицистика"," Эксмо"," 12+"," 2016"," Русский"
"Яхина Г. Ш.: Зулейха открывает глаза (Кинообложка)","1990","82","10"," Современная российская проза"," АСТ"," 16+"," 2020"," Русский"
"Исида С.: Токийский гуль: re. Кн. 1","6560","100","1"," Манга"," Азбука"," 18+"," 2020"," Русский"
"Спенст Д.: 6 минут. Ежедневник, который изменит вашу жизнь (лимонад)","3350","0","0"," Психология популярная"," Альпина Паблишер"," 16+"," 2020"," Русский"
"Санд И.: Близко к сердцу: Как жить, если вы слишком чувствительный человек","1960","100","4"," Психология практическая"," Альпина Паблишер"," 12+"," 2018"," Русский"
"Сирс М., Сирс У.: В ожидании малыша","3320","100","1"," Книги для родителей"," Эксмо"," 16+"," 2015"," Русский"
"Шекспир У.: Сонеты. BILINGUA","2550","0","0"," Поэзия"," Азбука"," 16+"," 2015"," Русский"
"Достоевский Ф. М.: Униженные и оскорбленные (мягкая обложка)","2890","0","0"," Русская классика"," АСТ"," 12+"," 2015"," Русский"
"Кристи А.: Скрюченный домишко","2350","0","0"," Остросюжетная литература"," Эксмо"," 16+"," 2020"," Русский"
"Турсунов Е.: Келін","3750","0","0"," Исторический роман"," Meloman Publishing"," 16+"," 2020"," Русский"
"Сафарли Э.: Когда я вернусь, будь дома","1540","98","16"," Современная российская проза"," АСТ"," 16+"," 2017"," Русский"
"Секреты космоса. 70 секретных створок","350","0","0"," Энциклопедии"," Робинс"," 0+"," 2014"," Русский"
"Вульф Трейси: Искушение","1900","0","0"," Young adult"," Эксмо"," 18+"," 2021"," Русский"
"Хороший динозавр. Дорога домой. Книга для чтения (с цветными картинками)","1150","0","0"," Детская литература"," Эксмо"," 6+"," 2019"," Русский"
"Миллер Мадлен: Песнь Ахилла","4390","0","0"," Современная мировая проза"," Corpus"," 18+"," 2019"," Русский"
"Цукумидзу: Последнее путешествие девочек. Том 1","7850","0","0"," Манга"," АСТ"," 16+"," 2020"," Русский"
"Державина В. А.: Все правила английского языка в схемах и таблицах.  Эксклюзивный самоучитель","890","0","0"," Иностранные языки"," АСТ"," 12+"," 2018"," Английский"
"Кийосаки Р.: Богатый папа, бедный папа. 16+","4250","100","13"," Бизнес образование"," Попурри"," 16+"," 2020"," Русский"
"Стрелеки Дж. П.: Кафе на краю земли. Два бестселлера под одной обложкой","2545","100","3"," Психология популярная"," Бомбора"," 16+"," 2019"," Русский"
"М. Омер: Внутри убийцы","1490","0","0"," Остросюжетная литература"," Эксмо"," 16+"," 2020"," Русский"
"Ренар Л.: Круг женской силы. Энергии стихий и тайны обольщения","6350","0","0"," Эзотерика"," Эксмо"," 16+"," 2015"," Русский"
"Кэнфилд Дж., Хансен М. В., Ньюмарк Э.: Куриный бульон для души. Создай себя заново. 101 вдохновляющая история о фитнесе, правильном питании","2410","90","2"," Современная мировая проза"," Бомбора"," 16+"," 2018"," Русский"
"Восс К.: Договориться не проблема. Научи кого угодно поступать, как тебе удобно","5000","0","0"," Психология практическая"," Эксмо"," 16+"," 2020"," Русский"
"Скотт Э.: Среди тысячи слов","3200","0","0"," Сентиментальный роман",," 18+"," 2020"," Русский"
"Шонбай Қ.: Бізге айтылмаған Q-π-Я (Құпия)","4550","95","34"," Деловая литература",," 16+"," 2019"," Казахский"
"Страуд Дж.: Пустая могила","1910","0","0"," Young adult"," Эксмо"," 16+"," 2018"," Русский"
"Оруэлл Дж.: 1984 (новый перевод)","1365","0","0"," Всемирная классика"," Альпина Паблишер"," 16+"," 2021"," Русский"
"Қазақстан Республикасының Конституциясы 2021ж.","2380","0","0"," Деловая литература"," Юрист"," 12+"," 2021"," Казахский"
"Блект Р.: Три энергии. Забытые каноны здоровья и гармонии","3690","0","0"," Эзотерика"," АСТ"," 16+"," 2021"," Русский"
"Белинг С.: Дом совы","1150","0","0"," Детская литература"," Эксмо"," 6+"," 2021"," Русский"
"Кови Ш.: 7 навыков высокоэффективных тинейджеров","1190","0","0"," Бизнес образование"," Добрая книга"," 12+"," 2007"," Русский"
"Бронте Ш.: Джейн Эйр (Мировая классика)","4550","0","0"," Всемирная классика"," Азбука"," 16+"," 2015"," Русский"
"Исаяма Х.: Атака на Титанов. Книга 3","4830","100","1"," Манга"," Азбука"," 18+"," 2016"," Русский"
"Нельсон Т.: Душа","2050","0","0"," Детская литература"," Эксмо"," 6+"," 2020"," Русский"
"Уайльд О.: Портрет Дориана Грея. Всемирная литература (новое оформление)","2420","0","0"," Всемирная классика"," Эксмо"," 16+"," 2020"," Русский"
"Әуезов М.: Көксерек. Qasym kitaphanasy","1290","0","0"," Казахская Классика"," Qasym баспа үйі"," 12+"," 2020"," Казахский"
"Олкотт Л. М.: Маленькие женщины. Яркие страницы","3515","100","1"," Всемирная классика"," Эксмо"," 12+"," 2019"," Русский"
"Стайбл В.: Тета-исцеление: вы и Создатель. Углубите свою связь с энергией творения","4005","0","0"," Эзотерика"," София"," 16+"," 2021"," Русский"
"Мист М.: Маленькая злая книга. Специальное издание. Читай с друзьями!","6470","0","0"," Детская литература"," Эксмо"," 6+"," 2021"," Русский"
"Давлатов С.: Долги тают на глазах. Стратегия быстрого избавления от финансового ярма","3720","99","21"," Бизнес образование"," Бомбора"," 18+"," 2019"," Русский"
"Моги К.: Икигай: Смысл жизни по-японски","2685","100","6"," Психология популярная"," Колибри"," 16+"," 2018"," Русский"
"Маурер Р.: Метод кайдзен: Шаг за шагом к достижению цели","1990","100","5"," Деловая литература"," Альпина Паблишер"," 16+"," 2019"," Русский"
"Диспенза Джо: Сила подсознания, или Как изменить жизнь за 4 недели","3245","99","44"," Психология популярная"," Эксмо"," 16+"," 2013"," Русский"
"Лондон Дж.: Мартин Иден (Эксклюзивная классика)","1290","100","3"," Всемирная классика"," Neoclassic"," 16+"," 2014"," Русский"
"Карнеги Д.: Как завоевывать друзей и оказывать влияние на людей (Год издания: 2020)","2770","100","1"," Психология популярная"," Попурри"," 16+"," 2020"," Русский"
"Сарычева Л., Ильяхов М.: Пиши, сокращай: Как создавать сильные тексты","5650","99","22"," Деловая литература"," Альпина Паблишер"," 12+"," 2017"," Русский"
"Кинг С.: Зеленая миля","3060","100","3"," фантастика"," АСТ"," 16+"," 2013"," Русский"
"Bronte C.: JANE EYRE","3660","0","0"," Неадаптированная литература"," HarperCollins"," 12+"," 2011"," Английский"
"Щерба Н. В.: Часодеи. 5. Часограмма","3900","0","0"," Детская литература"," Росмэн"," 12+"," 2013"," Русский"
"Берн Э.: Игры, в которые играют люди. Люди, которые играют в игры","1190","0","0"," Психология практическая"," Бомбора"," 16+"," 2007"," Русский"
"Довлатов С.: Малое собрание сочинений","1650","0","0"," Современная российская проза"," Азбука"," 18+"," 2012"," Русский"
